id,name.local,name.en,name.slug,code.id,children_count.local_unit,zip_codes,geo.lat,geo.lon
NP0443,बाग्लुङ,Baglung,baglung-np0443,NP0443,11,33300,28.356,83.143
NP0436,गोर्खा,Gorkha,gorkha-np0436,NP0436,11,34000,28.274,84.841
NP0439,कास्की,Kaski,kaski-np0439,NP0439,5,33700,28.345,83.971
NP0437,लम्जुङ,Lamjung,lamjung-np0437,NP0437,8,33600,28.283,84.42
NP0438,मनाङ,Manang,manang-np0438,NP0438,4,33500,28.673,84.169
NP0445,मुस्ताङ,Mustang,mustang-np0445,NP0445,5,33100,28.948,83.901
NP0444,म्याग्दी,Myagdi,myagdi-np0444,NP0444,7,33200,28.546,83.463
NP0447,पूर्वी नवलपरासी,Nawalparasi East,nawalparasi-east-np0447,NP0447,9,33000,27.654,84.031
NP0442,पर्वत,Parbat,parbat-np0442,NP0442,7,33400,28.203,83.728
NP0441,स्याङ्जा,Syangja,syangja-np0441,NP0441,11,33800,28.045,83.827
NP0440,तनहुँ,Tanahu,tanahu-np0440,NP0440,10,33900,27.935,84.223
