id,name.local,name.en,name.slug,code.id,children_count.local_unit,zip_codes,geo.lat,geo.lon
NP0110,भोजपुर,Bhojpur,bhojpur-np0110,NP0110,9,57000,27.175,87.094
NP0107,धनकुटा,Dhankuta,dhankuta-np0107,NP0107,7,56800,27.018,87.313
NP0103,इलाम,Ilam,ilam-np0103,NP0103,10,57300,26.885,87.92
NP0104,झापा,Jhapa,jhapa-np0104,NP0104,15,57200,26.584,87.886
NP0112,खोटाङ,Khotang,khotang-np0112,NP0112,10,56200,27.156,86.681
NP0105,मोरङ,Morang,morang-np0105,NP0105,17,56600,26.611,87.473
NP0113,ओखलढुङ्गा,Okhaldhunga,okhaldhunga-np0113,NP0113,8,56100,27.336,86.448
NP0102,पाँचथर,Panchthar,panchthar-np0102,NP0102,8,57400,27.149,87.855
NP0109,सङ्खुवासभा,Sankhuwasabha,sankhuwasabha-np0109,NP0109,10,56900,27.548,87.227
NP0111,सोलुखुम्बु,Solukhumbu,solukhumbu-np0111,NP0111,8,56000,27.726,86.782
NP0106,सुनसरी,Sunsari,sunsari-np0106,NP0106,13,56700,26.641,87.141
NP0101,ताप्लेजुङ,Taplejung,taplejung-np0101,NP0101,9,57500,27.61,87.822
NP0108,तेह्रथुम,Terhathum,terhathum-np0108,NP0108,6,57100,27.132,87.524
NP0114,उदयपुर,Udayapur,udayapur-np0114,NP0114,9,56300,26.933,86.52
