id,name.local,name.en,name.slug,code.id,children_count.local_unit,zip_codes,geo.lat,geo.lon
NP0769,अछाम,Achham,achham-np0769,NP0769,11,10700,29.068,81.294
NP0774,बैतडी,Baitadi,baitadi-np0774,NP0774,10,10200,29.508,80.558
NP0767,बझाङ,Bajhang,bajhang-np0767,NP0767,13,10500,29.723,81.246
NP0768,बाजुरा,Bajura,bajura-np0768,NP0768,10,10600,29.611,81.577
NP0773,डडेलधुरा,Dadeldhura,dadeldhura-np0773,NP0773,7,10300,29.209,80.501
NP0775,दार्चुला,Darchula,darchula-np0775,NP0775,9,10100,29.926,80.789
NP0770,डोटी,Doti,doti-np0770,NP0770,10,10800,29.188,80.862
NP0771,कैलाली,Kailali,kailali-np0771,NP0771,13,10900,28.731,80.904
NP0772,कञ्चनपुर,Kanchanpur,kanchanpur-np0772,NP0772,10,10400,28.845,80.283
